Creador;El;ULib;FULib;Fe.entrega;Solped;CM;EntrgFinal;C.Rec.;V.Rec.;C.Fac.;V.Fac.;Antic.;Tp.cambio;TipoCambio;Cond.pago;Centro;Almacén;Doc.compr.;Posición;Contrato;IndBorrado;EstadLiber;Proveedor;Nombre;Material;Txt.brv.;Tp.imput.;Gpo.artíc.;Grp-Compr.;Tipo doc.;Cl.doc.;Liber.;GrupoLib.;EstrLiber;Gestión OC;Fecha doc.;Cantidad;UM pedido;CxCal;CxEnt;Valor neto;Valor efec;VxCal;VxEnt;Moneda;V.neto ML;ML;;PosSolPed;Fe.solic.;Respons.;Fe.Migo;Mot. Anul.;Negocia
Usuario 1;22.11.2021;Usuario 1;23.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 9;20;;;X;;prov 349;;;;grupo 2;17;F;;1;;;4;22.11.2021;5.329.008;UN;;;;;;;INR;4406328.00;INR;;20;15.10.2021;Usuario 1;;;
Usuario 1;12.11.2021;Usuario 1;15.11.2021;10.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 10;10;;;XXX;;prov 142;;;;grupo 10;63;F;;1;;;4;12.11.2021;3.000;UN;;;;;;;INR;2397722.00;INR;;10;12.11.2021;Usuario 1;;;
Usuario 1;12.11.2021;Usuario 1;15.11.2021;10.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 10;20;;;XXX;;prov 142;;;;grupo 10;63;F;;1;;;4;12.11.2021;9.000;UN;;;;;;;INR;12308885.00;INR;;20;12.11.2021;Usuario 1;;;
Usuario 1;12.11.2021;Usuario 1;15.11.2021;10.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 10;30;;;XXX;;prov 142;;;;grupo 10;63;F;;1;;;4;12.11.2021;2.002;UN;;;;;;;INR;1739516.00;INR;;30;12.11.2021;Usuario 1;;;
Usuario 1;12.11.2021;Usuario 1;15.11.2021;10.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 10;40;;;XXX;;prov 142;;;;grupo 10;63;F;;1;;;4;12.11.2021;3.001;UN;;;;;;;INR;1884701.00;INR;;40;12.11.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;12.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 11;10;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;41.001;UN;;;;;;;INR;7278408.00;INR;;10;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;12.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 12;10;;;X;;prov 339;;;;grupo 2;17;F;;1;;;4;11.11.2021;3.004;UN;;;;;;;INR;33562.00;INR;;10;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;12.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 12;20;;;X;;prov 339;;;;grupo 2;17;F;;1;;;4;11.11.2021;3.008;UN;;;;;;;INR;32322.00;INR;;20;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;12.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 12;30;;;X;;prov 339;;;;grupo 2;17;F;;1;;;4;11.11.2021;2.008;UN;;;;;;;INR;6357.00;INR;;30;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;12.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 12;40;;;X;;prov 339;;;;grupo 2;17;F;;1;;;4;11.11.2021;11.002;UN;;;;;;;INR;231467.00;INR;;40;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;12.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 12;50;;;X;;prov 339;;;;grupo 2;17;F;;1;;;4;11.11.2021;11.001;UN;;;;;;;INR;198865.00;INR;;50;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;12.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 12;60;;;X;;prov 339;;;;grupo 2;17;F;;1;;;4;11.11.2021;11.003;UN;;;;;;;INR;226870.00;INR;;60;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;10;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.002;UN;;;;;;;INR;777224.00;INR;;10;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;20;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;7.005;UN;;;;;;;INR;669082.00;INR;;20;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;30;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.005;UN;;;;;;;INR;454498.00;INR;;30;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;40;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.002;UN;;;;;;;INR;582790.00;INR;;40;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;50;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.006;UN;;;;;;;INR;573885.00;INR;;50;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;60;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;7.008;UN;;;;;;;INR;649863.00;INR;;60;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;70;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.007;UN;;;;;;;INR;490031.00;INR;;70;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;80;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.002;UN;;;;;;;INR;433779.00;INR;;80;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 13;90;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.006;UN;;;;;;;INR;443412.00;INR;;90;18.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;10;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;9.004;UN;;;;;;;INR;918517.00;INR;;10;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;20;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;7.008;UN;;;;;;;INR;654501.00;INR;;20;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;30;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.005;UN;;;;;;;INR;450552.00;INR;;30;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;40;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;9.003;UN;;;;;;;INR;1044835.00;INR;;40;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;50;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;17.006;UN;;;;;;;INR;1848426.00;INR;;50;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;60;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;3.001;UN;;;;;;;INR;282940.00;INR;;60;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;70;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;9.005;UN;;;;;;;INR;1230579.00;INR;;70;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;80;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;9.000;UN;;;;;;;INR;1219218.00;INR;;80;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;90;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;5.005;UN;;;;;;;INR;444220.00;INR;;90;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;100;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;3.005;UN;;;;;;;INR;209707.00;INR;;100;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;110;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;9.002;UN;;;;;;;INR;885627.00;INR;;110;15.10.2021;Usuario 1;;;
Usuario 1;11.11.2021;Usuario 1;17.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 14;120;;;X;;prov 339;;;;grupo 1;17;F;;1;;;4;11.11.2021;7.006;UN;;;;;;;INR;673569.00;INR;;120;15.10.2021;Usuario 1;;;
Usuario 1;10.11.2021;Usuario 1;10.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 15;10;;;X;;prov 350;;;;grupo 1;17;F;;1;;;8;10.11.2021;6.004;UN;;;;;;;INR;343472.00;INR;;10;18.10.2021;Usuario 1;;;
Usuario 1;05.11.2021;Usuario 1;15.12.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 16;10;;;X;;prov 349;;;;grupo 2;17;F;;1;;;8;05.11.2021;2.881.002;UN;;;;;;;INR;6965196.00;INR;;10;15.10.2021;Usuario 1;;;
Usuario 1;05.11.2021;Usuario 1;15.12.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 16;20;;;X;;prov 349;;;;grupo 2;17;F;;1;;;8;05.11.2021;2.881.001;UN;;;;;;;INR;6917117.00;INR;;20;15.10.2021;Usuario 1;;;
Usuario 1;05.11.2021;Usuario 1;15.12.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 16;30;;;X;;prov 349;;;;grupo 2;17;F;;1;;;8;05.11.2021;97.003;UN;;;;;;;INR;189937.00;INR;;30;13.12.2021;Usuario 1;;;
Usuario 1;05.11.2021;Usuario 1;15.12.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;C;;documento 16;40;;;X;;prov 349;;;;grupo 2;17;F;;1;;;8;05.11.2021;157.006;UN;;;;;;;INR;346390.00;INR;;40;13.12.2021;Usuario 1;;;
Usuario 1;05.11.2021;Usuario 1;08.11.2021;02.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 17;10;;;XX;;prov 341;;;;grupo 10;63;F;;1;;;4;05.11.2021;5.003;UN;;;;;;;INR;808794.00;INR;;10;04.11.2021;Usuario 1;;;
Usuario 1;04.11.2021;Usuario 1;05.11.2021;20.09.2021;X;;X;;;;;;100.000;100.000;;B;;documento 18;10;;;X;;prov 348;;;;grupo 11;23;F;;1;;;4;04.11.2021;7.001.004;UN;;;;;;;INR;2808029.00;INR;;10;09.09.2021;Usuario 1;;;
Usuario 1;04.11.2021;Usuario 1;05.11.2021;20.09.2021;X;;X;;;;;;100.000;100.000;;B;;documento 18;20;;;X;;prov 348;;;;grupo 11;23;F;;1;;;4;04.11.2021;8.001.004;UN;;;;;;;INR;3216138.00;INR;;20;09.09.2021;Usuario 1;;;
Usuario 1;04.11.2021;Usuario 1;04.11.2021;12.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 19;10;;;XXX;;prov 337;;;;grupo 10;63;F;;1;;;4;04.11.2021;3.002;UN;;;;;;;INR;808002.00;INR;;10;03.11.2021;Usuario 1;;;
Usuario 1;04.11.2021;Usuario 1;04.11.2021;03.02.2022;X;;X;;;;;;100.000;100.000;;A;;documento 19;20;;;XXX;;prov 337;;;;grupo 10;63;F;;1;;;4;04.11.2021;14.000;UN;;;;;;;INR;14260014.00;INR;;20;03.11.2021;Usuario 1;;;
Usuario 1;04.11.2021;Usuario 1;04.11.2021;12.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 19;30;;;XXX;;prov 337;;;;grupo 10;63;F;;1;;;4;04.11.2021;6.003;UN;;;;;;;INR;899803.00;INR;;30;03.11.2021;Usuario 1;;;
Usuario 1;04.11.2021;Usuario 1;04.11.2021;12.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 19;40;;;XXX;;prov 337;;;;grupo 10;63;F;;1;;;4;04.11.2021;5.004;UN;;;;;;;INR;1316029.00;INR;;40;03.11.2021;Usuario 1;;;
Usuario 1;03.11.2021;Usuario 1;03.11.2021;20.09.2021;X;;;;;;;;100.000;100.000;;B;;documento 20;10;;L;;;prov 347;;;;grupo 11;23;F;;;;;4;03.11.2021;7.001.002;UN;;;;;;;INR;2834640.00;INR;;10;09.09.2021;Usuario 1;;;
Usuario 1;03.11.2021;Usuario 1;03.11.2021;20.09.2021;X;;;;;;;;100.000;100.000;;B;;documento 20;20;;L;;;prov 347;;;;grupo 11;23;F;;;;;4;03.11.2021;8.001.005;UN;;;;;;;INR;3206913.00;INR;;20;09.09.2021;Usuario 1;;;
Usuario 1;26.10.2021;Usuario 1;08.11.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 21;10;;;XXXX;;prov 346;;;P;grupo 12;57;F;;1;;;6;26.10.2021;19.004;UN;;;;;;;INR;191067836.00;INR;;10;01.09.2021;Usuario 1;;;
Usuario 1;15.10.2021;Usuario 1;19.10.2021;03.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 22;10;;;XXXX;;prov 345;;;P;grupo 12;63;F;;1;;;6;15.10.2021;37.001;UN;;;;;;;INR;471055280.00;INR;;10;07.09.2021;Usuario 1;;;
Usuario 1;15.10.2021;Usuario 1;19.10.2021;03.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 22;20;;;XXXX;;prov 345;;;P;grupo 12;63;F;;1;;;6;15.10.2021;46.005;UN;;;;;;;INR;514538232.00;INR;;20;07.09.2021;Usuario 1;;;
Usuario 1;05.10.2021;Usuario 1;07.10.2021;17.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 23;10;;;XXXX;;prov 344;;;P;grupo 12;63;F;;1;;;4;05.10.2021;938.003;UN;;;;;;;INR;141241483.00;INR;;10;05.10.2021;Usuario 1;;;
Usuario 1;05.10.2021;Usuario 1;07.10.2021;17.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 23;20;;;XXXX;;prov 344;;;P;grupo 12;63;F;;1;;;4;05.10.2021;140.003;UN;;;;;;;INR;20722923.00;INR;;20;05.10.2021;Usuario 1;;;
Usuario 1;05.10.2021;Usuario 1;07.10.2021;17.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 23;30;;;XXXX;;prov 344;;;P;grupo 12;63;F;;1;;;4;05.10.2021;62.007;UN;;;;;;;INR;7706886.00;INR;;30;05.10.2021;Usuario 1;;;
Usuario 1;05.10.2021;Usuario 1;07.10.2021;17.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 23;40;;;XXXX;;prov 344;;;P;grupo 12;63;F;;1;;;4;05.10.2021;43.003;UN;;;;;;;INR;4674514.00;INR;;40;05.10.2021;Usuario 1;;;
Usuario 1;05.10.2021;Usuario 1;07.10.2021;17.12.2021;X;;X;;;;;;100.000;100.000;;A;;documento 23;50;;;XXXX;;prov 344;;;P;grupo 12;63;F;;1;;;4;05.10.2021;33.004;UN;;;;;;;INR;4169811.00;INR;;50;05.10.2021;Usuario 1;;;
Usuario 1;21.09.2021;Usuario 1;21.09.2021;30.09.2021;X;;X;;;;;;100.000;100.000;;A;;documento 24;10;;;X;;prov 343;;;P;grupo 12;1;F;;1;;;8;21.09.2021;41.009;UN;;;;;;;INR;4398492.00;INR;;10;20.09.2021;Usuario 1;;;
Usuario 1;14.09.2021;Usuario 1;14.09.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 25;10;;;XXX;;prov 342;;;P;grupo 12;63;F;;1;;;4;14.09.2021;31.004;UN;;;;;;;INR;12895245.00;INR;;10;30.08.2021;Usuario 1;;;
Usuario 1;14.09.2021;Usuario 1;14.09.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 25;20;;;XXX;;prov 342;;;P;grupo 9;63;F;;1;;;4;14.09.2021;2.002;UN;;;;;;;INR;5156.00;INR;;20;30.08.2021;Usuario 1;;;
Usuario 1;09.09.2021;Usuario 1;13.09.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 26;10;;;XXXX;;prov 341;;;P;grupo 12;63;F;;1;;;6;09.09.2021;17.005;UN;;;;;;;INR;262190666.00;INR;;10;01.09.2021;Usuario 1;;;
Usuario 1;31.08.2021;Usuario 1;06.09.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 27;10;;;XXXX;;prov 142;;;P;grupo 13;63;F;;1;;;4;31.08.2021;5.009;UN;;;;;;;INR;44363105.00;INR;;10;30.08.2021;Usuario 1;;;
Usuario 1;31.08.2021;Usuario 1;06.09.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 27;20;;;XXXX;;prov 142;;;P;grupo 12;63;F;;1;;;4;31.08.2021;5.007;UN;;;;;;;INR;51277183.00;INR;;20;30.08.2021;Usuario 1;;;
Usuario 1;31.08.2021;Usuario 1;06.09.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 27;30;;;XXXX;;prov 142;;;P;grupo 12;63;F;;1;;;4;31.08.2021;4.008;UN;;;;;;;INR;12883564.00;INR;;30;30.08.2021;Usuario 1;;;
Usuario 1;31.08.2021;Usuario 1;06.09.2021;30.11.2021;X;;X;;;;;;100.000;100.000;;A;;documento 27;40;;;XXXX;;prov 142;;;P;grupo 12;63;F;;1;;;4;31.08.2021;4.009;UN;;;;;;;INR;8904352.00;INR;;40;30.08.2021;Usuario 1;;;
Usuario 1;31.08.2021;Usuario 1;03.09.2021;30.11.2021;X;;;;;;;;100.000;100.000;;A;;documento 28;10;;L;;;prov 293;;;P;grupo 12;63;F;;;;;4;31.08.2021;31.007;UN;;;;;;;INR;12912932.00;INR;;10;30.08.2021;Usuario 1;;;
Usuario 1;31.08.2021;Usuario 1;03.09.2021;30.11.2021;X;;;;;;;;100.000;100.000;;A;;documento 28;20;;L;;;prov 293;;;P;grupo 9;63;F;;;;;4;31.08.2021;2.006;UN;;;;;;;INR;6639.00;INR;;20;30.08.2021;Usuario 1;;;
